=== GAME DEBUG LOG ===
Configuration: Blue(+0 HP, +0 Ammo, +0 Grenades)
Configuration: Orange(+0 HP, +0 Ammo, +0 Grenades)

T33: B[C(2,2);M(10,6);P(2,6);W0(18,1)hp=100;W1(19,6)hp=20] O[C(45,6);M(38,6);P(45,3);W0(28,6)hp=20;W1(28,2)hp=100]
T34: B[C(2,2);M(11,6);P(2,6);W0(18,2)hp=100;W1(19,6)hp=20] O[C(45,6);M(37,6);P(45,3);W0(28,6)hp=20;W1(28,1)hp=100]
T35: B[C(2,2);M(12,6);P(2,6);W0(18,1)hp=100;W1(19,6)hp=20] O[C(45,6);M(36,6);P(45,3);W0(28,6)hp=20;W1(28,2)hp=100]
T36: B[C(2,2);M(13,6);P(2,6);W0(18,2)hp=100;W1(19,6)hp=20] O[C(45,6);M(35,6);P(45,3);W0(28,6)hp=20;W1(28,1)hp=100]
T37: B[C(2,2);M(14,6);P(2,6);W0(18,1)hp=100;W1(19,6)hp=20] O[C(45,6);M(34,6);P(45,3);W0(28,6)hp=20;W1(28,2)hp=100]
T38: B[C(2,2);M(15,6);P(2,6);W0(18,2)hp=100;W1(19,6)hp=20] O[C(45,6);M(33,6);P(45,3);W0(28,6)hp=20;W1(28,1)hp=100]
T39: B[C(2,2);M(16,6);P(2,6);W0(18,1)hp=100;W1(19,6)hp=20] O[C(45,6);M(32,6);P(45,3);W0(28,6)hp=20;W1(28,2)hp=100]
T40: B[C(2,2);M(17,6);P(2,6);W0(18,2)hp=100;W1(19,6)hp=20] O[C(45,6);M(31,6);P(45,3);W0(28,6)hp=20;W1(28,1)hp=100]
T41: B[C(2,2);M(18,6);P(2,6);W0(18,1)hp=100;W1(19,6)hp=20] O[C(45,6);M(30,6);P(45,3);W0(28,6)hp=20;W1(28,2)hp=100]
T42: B[C(2,2);M(18,6);P(2,6);W0(18,2)hp=100;W1(20,6)hp=100] O[C(45,6);M(29,6);P(45,3);W0(28,6)hp=20;W1(28,1)hp=100]
